experiment,dataset_name,status,real_rank_pct,shifted_rank_pct,time_rank_pct,real_minus_shifted,real_minus_time,residual_status,residual_rank_pct,residual_shifted_rank_pct,residual_minus_shifted,residual_diag_minus_offdiag,n_samples,n_subjects,target_dim
lag0,affective_labram,fail,0.5171225781979459,0.5000559251478369,0.5080041044195457,0.017066653050109,0.0091184737784002,fail,0.5161791452692187,0.4991669584500466,0.017012186819172,0.0273981862071302,19506,21,100
lag0,xp2_band,pass,0.5572638821590776,0.5139952983277539,0.5219550505754832,0.0432685838313237,0.0353088315835944,pass,0.5492082062580486,0.5143313193984635,0.034876886859585,0.0641289900829515,5474,17,76
lag0,xp2_rawtf,pass,0.5382802621110034,0.4978894002159444,0.5264256318002628,0.0403908618950589,0.0118546303107406,pass,0.5289036107985048,0.5048442296823702,0.0240593811161345,0.0305074431220186,5474,17,100
lag0,affective_band,pass,0.5264305895969499,0.4951140873015873,0.5080041044195457,0.0313165022953625,0.0184264851774041,pass,0.5242540071584191,0.5000958022097728,0.0241582049486462,0.0387175622965492,19506,21,100
lag0,affective_rawtf,pass,0.5227814737005914,0.5014854205571118,0.5080041044195457,0.0212960531434796,0.0147773692810456,pass,0.521411307578587,0.5009936439853719,0.020417663593215,0.0306021643340897,19506,21,100
lag0,experience_band,time_dominated,0.5599529909735456,0.4925821588633403,0.5913679199622373,0.0673708321102052,-0.0314149289886916,pass,0.5419397304927939,0.4990635198069324,0.0428762106858614,0.081259550401243,7909,24,100
lag0,experience_rawtf,time_dominated,0.5338281433481642,0.5034173792514176,0.5913679199622373,0.0304107640967465,-0.057539776614073,pass,0.5243142600032135,0.503578436911526,0.0207358230916874,0.0341265466430251,7909,24,100
lag0,natview_labram_neurostorm,time_dominated,0.5083897260131464,0.4916540854449944,0.5135398012006592,0.0167356405681519,-0.0051500751875128,fail,0.5100611055585039,0.4983902059284147,0.0116708996300892,0.0145217240185197,5811,22,2304
bestlag,affective_labram,fail,0.5171225781979459,0.5000559251478369,0.5080041044195457,0.017066653050109,0.0091184737784002,fail,0.5161791452692187,0.4991669584500466,0.017012186819172,0.0273981862071302,19506,21,100
bestlag,affective_rawtf_lagm4,pass,0.5669268401805166,0.4976586815281669,0.5055378053999378,0.0692681586523497,0.0613890347805788,pass,0.5657254221132898,0.4951060632586368,0.0706193588546529,0.0869151681679668,19422,21,100
bestlag,affective_patch_lagm4,pass,0.5607153799019607,0.502500948295985,0.5055378053999378,0.0582144316059757,0.0551775745020229,pass,0.5605022564581388,0.498510932150638,0.0619913243075007,0.0826717940124694,19422,21,100
bestlag,xp2_rawtf_lagp2,pass,0.5445663475907706,0.4997363334277604,0.5258417236326008,0.0448300141630101,0.0187246239581697,pass,0.5328631369879523,0.5048762209321409,0.0279869160558113,0.0360563719188175,5440,17,100
bestlag,xp2_patch_bestlag,pass,0.5323427378631717,0.5010370943969482,0.5258417236326008,0.0313056434662234,0.0065010142305708,pass,0.5277307518337758,0.5025512784053408,0.025179473428435,0.0315351542334779,5440,17,100
bestlag,experience_patch_bestlag,time_dominated,0.5320810593511878,0.4961405204464655,0.5903210969368634,0.0359405389047222,-0.0582400375856756,fail,0.5178657361922588,0.5075441765311136,0.0103215596611452,0.0274648183847681,7813,24,100
bestlag,experience_rawtf_lagp4,time_dominated,0.5226770318302387,0.4933370475098322,0.5903210969368634,0.0293399843204064,-0.0676440651066246,confounded,0.5069378437739823,0.5031315992792212,0.003806244494761,0.0082608102679028,7813,24,100
bestlag,natview_labram_neurostorm,time_dominated,0.5083897260131464,0.4916540854449944,0.5135398012006592,0.0167356405681519,-0.0051500751875128,fail,0.5100611055585039,0.4983902059284147,0.0116708996300892,0.0145217240185197,5811,22,2304
bestlag,natview_labram_schaefer100,time_dominated,0.5008639277865558,0.5064725619956594,0.5041588542077248,-0.0056086342091036,-0.003294926421169,confounded,0.5003006304073839,0.50547160196941,-0.005170971562026,-0.0034880808175345,5811,22,100
ablation,affective_rawtf_lagm4,pass,0.5669268401805166,0.4976586815281669,0.5055378053999378,0.0692681586523497,0.0613890347805788,pass,0.5657254221132898,0.4951060632586368,0.0706193588546529,0.0869151681679668,19422,21,100
ablation,affective_tf_lagm4,pass,0.5650837418300654,0.4960718662464985,0.5055378053999378,0.0690118755835668,0.0595459364301276,pass,0.5632286074151883,0.4904010562558356,0.0728275511593526,0.0837847866217613,19422,21,100
ablation,affective_raw_lagm4,pass,0.553988921957672,0.504955211251167,0.5055378053999378,0.0490337107065049,0.0484511165577342,pass,0.5536764705882353,0.4974501779878618,0.0562262926003735,0.0734636544317096,19422,21,100
ablation,xp2_tf_lagp2,pass,0.5460697712046234,0.4962745510251133,0.5258417236326008,0.04979522017951,0.0202280475720225,pass,0.5338384216873014,0.4971178995556989,0.0367205221316025,0.039274554361047,5440,17,100
ablation,affective_rawtf_p16_lagm4,pass,0.5457419078742608,0.5021591970121381,0.5055378053999378,0.0435827108621227,0.040204102474323,pass,0.5461363017429194,0.4987497082166199,0.0473865935262994,0.0591911743254065,19422,21,100
ablation,xp2_rawtf_lagp2,pass,0.5445663475907706,0.4997363334277604,0.5258417236326008,0.0448300141630101,0.0187246239581697,pass,0.5328631369879523,0.5048762209321409,0.0279869160558113,0.0360563719188175,5440,17,100
